产品大类,产品系列,产品型号,风量,静压,噪音,功率,制冷热交换率,制热热交换率,产品尺寸,系列最大风量
6恒智选,家用薄型全热交换器,FV-25ZDT2C,250,210,36,129,65,78,780*760*230,350
6恒智选,家用薄型全热交换器,FV-35ZDT2C,350,200,38,176,63,76,920*800*240,350
6恒智选,除湿,FV-25ZXH1C,250,130,38,1110,66,78,1297*997*250,350
6恒智选,除湿,FV-35ZXH1C,350,130,41,1490,62,76,1297*997*250,350
6恒智选,加湿,FV-25ZJT2C,250,240,41,125,67,74,950*880*250,350
6恒智选,加湿,FV-35ZJT2C,350,280,42,200,65,72,1055*895*250,350
6恒智选,调湿,FV-25ZHT1C,250,130,38,1110,66,78,1297*997*250,350
6恒智选,调湿,FV-35ZHT1C,350,130,41,1490,62,76,1297*997*250,350
6恒智选,加湿模块,FV-19TNJ2C,250,,40,1960,,,750*763*250,350
6恒智选,加湿模块,FV-26TNJ2C,350,,40,2560,,,750*763*250,350
6恒智选,加湿模块,FV-19TN2C,250,,40,1950,,,750*608*250,350
6恒智选,加湿模块,FV-26TN2C,350,,40,2550,,,750*608*250,350
6恒2代,家用薄型全热交换器,FV-15ZDT1C,150,110,32,62,71,84,760*720*220,350
6恒2代,家用薄型全热交换器,FV-25ZDT1C,250,130,35,107,69,78,780*760*230,350
6恒2代,家用薄型全热交换器,FV-35ZDT1C,350,150,38,163,65,76,920*800*240,350
6恒2代,高级DC全热,FV-15ZJT1C,150,120,30,80,66,80,1090*720*250,350
6恒2代,高级DC全热,FV-25ZJT1C,250,150,34,120,62,79,1090*800*250,350
6恒2代,高级DC全热,FV-35ZJT1C,350,180,37,180,63,78,1190*950*250,350
6恒2代,调湿模块,FV-12TC2C,,,35,630,,,650*520*250,
6恒2代,调湿模块,FV-26TC2C,,,40,1310,,,750*520*250,
6恒2代,调湿模块,FV-12TCJ2C,,,35,640,,,650*520*250,
6恒2代,调湿模块,FV-26TCJ2C,,,40,1320,,,750*520*250,
6恒2代,6恒控制器（主机）,FV-SEZTB01,,,,,,,,
6恒2代,6恒控制器（子机）,FV-SEZTB02,,,,,,,,
6恒智选,新风控制器,FV-SWT1C,,,,,,,,
6恒智选,御风箱,FV-MDJ251C-6,,,,,,,,
6恒智选,御风箱,FV-MDJ351C-7,,,,,,,,
6恒智选,御风箱,FV-MDJ501C-8,,,,,,,,
6恒智选,新风模块控制器,FV-SWJ1C,,,,,,,,
6恒智选,6恒控制器,FV-SWT1C,,,,,,,,
6恒智选,空气盒子,FV-BMS1C,,,,,,,,
6恒智选,御风组件,FV-MDT191C-7,,,,,,,,
6恒智选,御风组件,FV-MDT261C-8,,,,,,,,
新风部材,风口,FV-GPV075C,,,,,,,,
新风部材,风口,FV-GPF075C,,,,,,,,
