设备大类,产品系列,空调,型号,匹数,电源,制冷量(kW),制冷输入功率(kW),制热量(kW),输入功率(kW),尺寸(H*D*W)(mm),系列最大冷量
室内机,零售,暗藏管道式_超薄_100×nanoe,CS-MHE6D0AS12B,0.7,单相220V/50Hz,1.8,0.03,2.2,0.03,700*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe,CS-MHE7D0AS12B,0.8,单相220V/50Hz,2.2,0.03,2.5,0.03,700*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe,CS-MHE8D0AS12B,0.9,单相220V/50Hz,2.5,0.03,2.8,0.03,700*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe,CS-MHE9D0AS12B,1,单相220V/50Hz,2.8,0.035,3.2,0.04,700*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe,CS-MHE10D0AS12B,1.2,单相220V/50Hz,3.2,0.04,3.6,0.04,700*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe,CS-MHE12D0AS12B,1.5,单相220V/50Hz,3.6,0.04,4.2,0.04,700*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe,CS-MHE14D0AS12B,1.6,单相220V/50Hz,4,0.045,4.5,0.05,900*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe,CS-MHE16D0AS12B,1.8,单相220V/50Hz,4.5,0.05,5,0.05,900*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe,CS-MHE17D0AS12B,1.9,单相220V/50Hz,5,0.055,5.6,0.06,900*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe,CS-MHE18D0AS12B,2,单相220V/50Hz,5.6,0.055,6.3,0.06,900*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe,CS-MHE23D0AS12B,2.5,单相220V/50Hz,6.3,0.065,7.1,0.07,1100*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe,CS-MHE27D0AS12B,3,单相220V/50Hz,7.3,0.065,8,0.07,1100*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵,CS-MHE6D0AS12PB,0.7,单相220V/50Hz,1.8,0.03,2.2,0.03,700*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵,CS-MHE7D0AS12PB,0.8,单相220V/50Hz,2.2,0.03,2.5,0.03,700*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵,CS-MHE8D0AS12PB,0.9,单相220V/50Hz,2.5,0.03,2.8,0.03,700*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵,CS-MHE9D0AS12PB,1,单相220V/50Hz,2.8,0.035,3.2,0.04,700*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵,CS-MHE10D0AS12PB,1.2,单相220V/50Hz,3.2,0.04,3.6,0.04,700*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵,CS-MHE12D0AS12PB,1.5,单相220V/50Hz,3.6,0.04,4.2,0.04,700*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵,CS-MHE14D0AS12PB,1.6,单相220V/50Hz,4,0.045,4.5,0.05,900*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵,CS-MHE16D0AS12PB,1.8,单相220V/50Hz,4.5,0.05,5,0.05,900*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵,CS-MHE17D0AS12PB,1.9,单相220V/50Hz,5,0.055,5.6,0.06,900*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵,CS-MHE18D0AS12PB,2,单相220V/50Hz,5.6,0.055,6.3,0.06,900*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵,CS-MHE23D0AS12PB,2.5,单相220V/50Hz,6.3,0.065,7.1,0.07,1100*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵,CS-MHE27D0AS12PB,3,单相220V/50Hz,7.3,0.065,8,0.07,1100*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵,CS-MHE28D0AS12PB,3.2,单相220V/50Hz,8,0.085,9,0.09,1400*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵,CS-MHE32D0AS12PB,3.5,单相220V/50Hz,9,0.085,10.5,0.09,1400*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵,CS-MHE35D0AS12PB,3.7,单相220V/50Hz,10,0.13,11.2,0.13,1400*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵,CS-MHE38D0AS12PB,4,单相220V/50Hz,11.2,0.13,12.5,0.13,1400*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵_PM2.5滤网,CS-MHE7D0AS12PBF,0.8,单相220V/50Hz,2.2,0.03,2.5,0.03,700*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵_PM2.5滤网,CS-MHE8D0AS12PBF,0.9,单相220V/50Hz,2.5,0.03,2.8,0.03,700*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵_PM2.5滤网,CS-MHE9D0AS12PBF,1,单相220V/50Hz,2.8,0.035,3.2,0.04,700*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵_PM2.5滤网,CS-MHE10D0AS12PBF,1.2,单相220V/50Hz,3.2,0.04,3.6,0.04,700*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵_PM2.5滤网,CS-MHE12D0AS12PBF,1.5,单相220V/50Hz,3.6,0.04,4.2,0.04,700*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵_PM2.5滤网,CS-MHE27D0AS12PBF,3,单相220V/50Hz,7.3,0.065,8,0.07,1100*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵_PM2.5滤网,CS-MHE28D0AS12PBF,3.2,单相220V/50Hz,8,0.085,9,0.09,1400*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵_PM2.5滤网,CS-MHE32D0AS12PBF,3.5,单相220V/50Hz,9,0.085,10.5,0.09,1400*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵_PM2.5滤网,CS-MHE35D0AS12PBF,3.7,单相220V/50Hz,10,0.13,11.2,0.13,1400*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_内置排水泵_PM2.5滤网,CS-MHE38D0AS12PBF,4,单相220V/50Hz,11.2,0.13,12.5,0.13,1400*450*200,11.2
室内机,零售,暗藏管道式_超薄_100×nanoe_PM2.5滤网,CS-MHE6D0AS12BF,0.7,单相220V/50Hz,1.8,0.03,2.2,0.03,700*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe_PM2.5滤网,CS-MHE7D0AS12BF,0.8,单相220V/50Hz,2.2,0.03,2.5,0.03,700*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe_PM2.5滤网,CS-MHE8D0AS12BF,0.9,单相220V/50Hz,2.5,0.03,2.8,0.03,700*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe_PM2.5滤网,CS-MHE9D0AS12BF,1,单相220V/50Hz,2.8,0.035,3.2,0.04,700*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe_PM2.5滤网,CS-MHE10D0AS12BF,1.2,单相220V/50Hz,3.2,0.04,3.6,0.04,700*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe_PM2.5滤网,CS-MHE12D0AS12BF,1.5,单相220V/50Hz,3.6,0.04,4.2,0.04,700*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe_PM2.5滤网,CS-MHE14D0AS12BF,1.6,单相220V/50Hz,4,0.045,4.5,0.05,900*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe_PM2.5滤网,CS-MHE16D0AS12BF,1.8,单相220V/50Hz,4.5,0.05,5,0.05,900*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe_PM2.5滤网,CS-MHE17D0AS12BF,1.9,单相220V/50Hz,5,0.055,5.6,0.06,900*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe_PM2.5滤网,CS-MHE18D0AS12BF,2,单相220V/50Hz,5.6,0.055,6.3,0.06,900*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe_PM2.5滤网,CS-MHE23D0AS12BF,2.5,单相220V/50Hz,6.3,0.065,7.1,0.07,1100*450*200,7.3
室内机,零售,暗藏管道式_超薄_100×nanoe_PM2.5滤网,CS-MHE27D0AS12BF,3,单相220V/50Hz,7.3,0.065,8,0.07,1100*450*200,7.3
室内机,厨卫,厨卫专用空调,CS-ME9D0AS9,1,单相220V/50Hz,2.8,,3.2,,,
室内机,厨卫,厨卫专用空调,CS-ME9D0AS9B,1,单相220V/50Hz,2.8,,3.2,,,2.8
室内机,中静压,暗藏管道式_中静压_nanoe_内置排水泵,CS-ME7DIEX8B,0.8,单相220V/50Hz,2.2,,2.5,,,16
室内机,中静压,暗藏管道式_中静压_nanoe_内置排水泵,CS-ME9DIEX8B,1,单相220V/50Hz,2.8,,3.2,,,16
室内机,中静压,暗藏管道式_中静压_nanoe_内置排水泵,CS-ME12DIEX8B,1.5,单相220V/50Hz,3.6,,4.2,,,16
室内机,中静压,暗藏管道式_中静压_nanoe_内置排水泵,CS-ME14DIEX8B,1.6,单相220V/50Hz,4,,4.5,,,16
室内机,中静压,暗藏管道式_中静压_nanoe_内置排水泵,CS-ME16DIEX8B,1.8,单相220V/50Hz,4.5,,5,,,16
室内机,中静压,暗藏管道式_中静压_nanoe_内置排水泵,CS-ME17DIEX8B,1.9,单相220V/50Hz,5,,5.6,,,16
室内机,中静压,暗藏管道式_中静压_nanoe_内置排水泵,CS-ME18DIEX8B,2,单相220V/50Hz,5.6,,6.3,,,16
室内机,中静压,暗藏管道式_中静压_nanoe_内置排水泵,CS-ME23DIEX8B,2.5,单相220V/50Hz,6.3,,7.5,,,16
室内机,中静压,暗藏管道式_中静压_nanoe_内置排水泵,CS-ME27DIEX8B,3,单相220V/50Hz,7.3,,8,,,16
室内机,中静压,暗藏管道式_中静压_nanoe_内置排水泵,CS-ME28DIEX8B,3.2,单相220V/50Hz,8,,9,,,16
室内机,中静压,暗藏管道式_中静压_nanoe_内置排水泵,CS-ME32DIEX8B,3.5,单相220V/50Hz,9,,10.5,,,16
室内机,中静压,暗藏管道式_中静压_nanoe_内置排水泵,CS-ME35DIEX8B,3.7,单相220V/50Hz,10,,11.2,,,16
室内机,中静压,暗藏管道式_中静压_nanoe_内置排水泵,CS-ME38DIEX8B,4.2,单相220V/50Hz,11.2,,12.5,,,16
室内机,中静压,暗藏管道式_中静压_nanoe_内置排水泵,CS-ME45DIEX8B,5,单相220V/50Hz,12.5,,14,,,16
室内机,中静压,暗藏管道式_中静压_nanoe_内置排水泵,CS-ME54DIEX8B,6,单相220V/50Hz,14,,16,,,16
室内机,中静压,暗藏管道式_中静压_nanoe_内置排水泵,CS-ME60DIEX8B,6.7,单相220V/50Hz,16,,18,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME7DIEX8,0.8,单相220V/50Hz,2.2,,2.5,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME8DIEX8,0.9,单相220V/50Hz,2.5,,3,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME9DIEX8,1,单相220V/50Hz,2.8,,3.2,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME10DIEX8,1.2,单相220V/50Hz,3.2,,3.6,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME12DIEX8,1.5,单相220V/50Hz,3.6,,4.2,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME14DIEX8,1.6,单相220V/50Hz,4,,4.5,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME15DIEX8,1.7,单相220V/50Hz,4.3,,4.9,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME16DIEX8,1.8,单相220V/50Hz,4.5,,5,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME17DIEX8,1.9,单相220V/50Hz,5,,5.6,,,16
